iter	Passed	Remaining
482	589	630
483	590	629
484	590	627
485	591	626
486	592	624
487	593	623
488	594	621
489	595	620
490	597	618
491	598	617
492	599	616
493	599	614
494	600	613
495	601	611
496	602	610
497	603	608
498	604	606
499	605	605
500	606	603
501	606	602
502	607	600
503	608	598
504	609	597
505	610	595
506	610	594
507	611	592
508	612	591
509	613	589
510	614	588
511	615	586
512	616	585
513	617	584
514	618	582
515	619	581
516	620	579
517	621	578
518	622	576
519	622	574
520	623	573
521	624	572
522	625	570
523	626	569
524	627	567
525	628	566
526	629	564
527	629	563
528	630	561
529	631	560
530	632	558
531	633	556
532	634	555
533	634	554
534	635	552
535	636	551
536	637	549
537	638	548
538	639	546
539	640	545
540	640	543
541	641	542
542	642	541
543	643	539
544	644	538
545	645	537
546	646	535
547	647	534
548	648	532
549	649	531
550	650	530
551	651	528
552	652	527
553	653	526
554	654	524
555	655	523
556	656	522
557	657	520
558	658	519
559	660	518
560	661	517
561	662	516
562	662	514
563	663	513
564	664	511
565	665	510
566	666	509
567	667	507
568	668	506
569	669	505
570	670	503
571	671	502
572	672	501
573	673	499
574	674	498
575	675	496
576	676	495
577	677	494
578	677	492
579	678	491
580	679	490
581	680	489
582	681	487
583	682	486
584	683	484
585	684	483
586	685	482
587	686	481
588	687	479
589	688	478
590	689	476
591	690	475
592	690	474
593	691	472
594	692	471
595	693	470
596	694	468
597	695	467
598	696	466
599	697	464
600	697	463
601	698	461
602	699	460
603	700	459
604	701	457
605	702	456
606	703	455
607	704	454
608	705	452
609	706	451
610	707	450
611	708	448
612	709	447
613	710	446
614	711	445
615	712	444
616	713	442
617	714	441
618	715	440
619	716	439
620	717	438
621	718	436
622	720	435
623	721	434
624	721	433
625	723	431
626	723	430
627	724	429
628	725	427
629	726	426
630	727	425
631	728	424
632	729	423
633	730	421
634	731	420
635	732	419
636	733	418
637	734	416
638	735	415
639	736	414
640	737	412
641	738	411
642	739	410
643	740	409
644	741	407
645	742	406
646	743	405
647	744	404
648	745	403
649	746	402
650	747	400
651	748	399
652	749	398
653	750	396
654	751	395
655	752	394
656	753	393
657	754	392
658	755	390
659	756	389
660	756	388
661	757	386
662	758	385
663	759	384
664	760	383
665	761	382
666	762	380
667	763	379
668	764	378
669	766	377
670	767	376
671	768	375
672	769	374
673	771	372
674	772	371
675	773	370
676	774	369
677	775	368
678	776	367
679	777	365
680	778	364
681	779	363
682	780	362
683	781	361
684	782	359
685	783	358
686	784	357
687	786	356
688	787	355
689	788	354
690	789	352
691	790	351
692	791	350
693	792	349
694	793	348
695	794	347
696	795	345
697	796	344
698	797	343
699	799	342
700	800	341
701	801	340
702	802	339
703	803	337
704	805	336
705	806	335
706	807	334
707	808	333
708	809	332
709	810	331
710	811	329
711	814	329
712	816	328
713	817	327
714	818	326
715	819	324
716	820	323
717	821	322
718	822	321
719	823	320
720	824	319
721	826	318
722	827	317
723	829	316
724	830	315
725	831	313
726	832	312
727	833	311
728	835	310
729	836	309
730	837	308
731	838	307
732	839	305
733	840	304
734	842	303
735	843	302
736	844	301
737	845	300
738	846	298
739	847	297
740	848	296
741	850	295
742	851	294
743	852	293
744	854	292
745	855	291
746	857	290
747	859	289
748	861	288
749	862	287
750	863	286
751	865	285
752	866	284
753	868	283
754	869	282
755	870	280
756	872	280
757	874	279
758	875	277
759	876	276
760	877	275
761	882	275
762	884	274
763	888	274
764	891	273
765	893	272
766	895	272
767	897	271
768	899	270
769	900	268
770	902	268
771	903	266
772	904	265
773	905	264
774	906	263
775	908	262
776	909	261
777	910	259
778	911	258
779	913	257
780	914	256
781	915	255
782	917	254
783	918	253
784	920	252
785	921	250
786	923	249
787	924	248
788	926	247
789	929	247
790	930	245
791	932	244
792	933	243
793	935	242
794	936	241
795	938	240
796	939	239
797	941	238
798	942	237
799	944	236
800	946	235
801	947	233
802	948	232
803	951	231
804	952	230
805	954	229
806	956	228
807	958	227
808	959	226
809	961	225
810	963	224
811	965	223
812	966	222
813	968	221
814	970	220
815	971	219
816	973	218
817	975	217
818	977	216
819	980	215
820	981	214
821	983	212
822	985	211
823	987	210
824	989	209
825	992	209
826	994	208
827	997	207
828	1002	206
829	1004	205
830	1006	204
831	1011	204
832	1012	203
833	1014	201
834	1016	200
835	1017	199
836	1019	198
837	1021	197
838	1022	196
839	1023	195
840	1025	193
841	1026	192
842	1028	191
843	1029	190
844	1031	189
845	1032	187
846	1033	186
847	1035	185
848	1036	184
849	1037	183
850	1039	181
851	1040	180
852	1041	179
853	1042	178
854	1044	177
855	1045	175
856	1046	174
857	1048	173
858	1049	172
859	1050	171
860	1051	169
861	1053	168
862	1054	167
863	1055	166
864	1057	165
865	1059	163
866	1060	162
867	1061	161
868	1063	160
869	1065	159
870	1067	158
871	1068	156
872	1070	155
873	1071	154
874	1074	153
875	1075	152
876	1077	151
877	1079	149
878	1080	148
879	1082	147
880	1083	146
881	1084	145
882	1086	143
883	1087	142
884	1089	141
885	1090	140
886	1091	139
887	1093	137
888	1094	136
889	1096	135
890	1097	134
891	1099	133
892	1101	131
893	1102	130
894	1104	129
895	1105	128
896	1106	127
897	1108	125
898	1109	124
899	1110	123
900	1111	122
901	1113	120
902	1114	119
903	1115	118
904	1117	117
905	1118	116
906	1120	114
907	1121	113
908	1122	112
909	1124	111
910	1125	109
911	1126	108
912	1127	107
913	1129	106
914	1130	105
915	1132	103
916	1133	102
917	1135	101
918	1136	100
919	1138	98
920	1139	97
921	1140	96
922	1142	95
923	1143	94
924	1144	92
925	1145	91
926	1147	90
927	1148	89
928	1149	87
929	1151	86
930	1153	85
931	1154	84
932	1156	83
933	1157	81
934	1158	80
935	1159	79
936	1161	78
937	1163	76
938	1164	75
939	1166	74
940	1167	73
941	1169	71
942	1171	70
943	1173	69
944	1174	68
945	1176	67
946	1178	65
947	1179	64
948	1180	63
949	1182	62
950	1184	61
951	1185	59
952	1186	58
953	1187	57
954	1188	56
955	1190	54
956	1191	53
957	1192	52
958	1193	51
959	1194	49
960	1195	48
961	1196	47
962	1197	46
963	1198	44
964	1199	43
965	1200	42
966	1201	41
967	1202	39
968	1203	38
969	1204	37
970	1205	36
971	1206	34
972	1207	33
973	1208	32
974	1209	31
975	1210	29
976	1211	28
977	1212	27
978	1213	26
979	1214	24
980	1215	23
981	1216	22
982	1217	21
983	1218	19
984	1219	18
985	1220	17
986	1221	16
987	1222	14
988	1223	13
989	1224	12
990	1225	11
991	1226	9
992	1228	8
993	1229	7
994	1229	6
995	1230	4
996	1231	3
997	1232	2
998	1233	1
999	1234	0
